candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,non_glowing_required_cells,missing_required_resources,non_glowing_cell_ids,final_score,connected_cells,layout_score,diagnostics
0,false,-1,15.60,156,11933,4860,0,21,6,18,3,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-d-002|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-002|red-myco-003|red-myco-004,-2405,24,2157658,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-d-002,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-002,red-myco-003,red-myco-004;missingResources=B,C,O;strong=[cell-a-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001]|[cell-b-001]|[cell-c-001]|[cell-k-001]|[cell-o-001]|[red-myco-001]|[red-myco-002]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001]|[cell-b-001]|[cell-c-001]|[cell-k-001]|[cell-o-001]|[red-myco-001]|[red-myco-002]|[red-myco-003]|[red-myco-004]"
1,false,-1,19.50,195,15592,5695,0,24,9,15,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-003|red-myco-004,12146,24,2407079,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-003,red-myco-004;missingResources=O;strong=[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001,red-myco-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-002]|[cell-k-001,cell-o-001]|[cell-b-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001,red-myco-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-002]|[cell-k-001,cell-o-001]|[cell-b-001]|[red-myco-003]|[red-myco-004]"
2,false,-1,17.40,174,14130,5697,0,22,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,11263,24,2353123,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=O;strong=[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-k-001,cell-o-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-k-001,cell-o-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
3,false,-1,17.10,171,12375,3660,0,23,7,17,5,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-e-001|cell-g-001|cell-h-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-004,-17703,24,2225834,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-004;missingResources=B,E,H,L,O;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-h-001]|[cell-b-001]|[cell-e-001]|[cell-i-001]|[cell-k-001]|[cell-l-001]|[cell-o-001]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-h-001]|[cell-b-001]|[cell-e-001]|[cell-i-001]|[cell-k-001]|[cell-l-001]|[cell-o-001]|[red-myco-004]"
4,false,-1,14.10,141,6904,1796,0,20,2,22,8,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-d-001|cell-e-001|cell-g-001|cell-h-001|cell-i-001|cell-j-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-002|red-myco-003|red-myco-004,-39211,24,1929601,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-002,red-myco-003,red-myco-004;missingResources=E,H,I,L,M,N,O,Q;strong=[cell-a-001,cell-c-001,cell-d-002,cell-p-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002]|[cell-k-001,cell-o-001]|[cell-a-002]|[cell-b-001]|[cell-d-001]|[cell-e-001]|[cell-h-001]|[cell-i-001]|[cell-l-001]|[cell-m-001]|[cell-n-001]|[cell-q-001]|[red-myco-001]|[red-myco-002]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-c-001,cell-d-002,cell-p-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002]|[cell-k-001,cell-o-001]|[cell-a-002]|[cell-b-001]|[cell-d-001]|[cell-e-001]|[cell-h-001]|[cell-i-001]|[cell-l-001]|[cell-m-001]|[cell-n-001]|[cell-q-001]|[red-myco-001]|[red-myco-002]|[red-myco-003]|[red-myco-004]"
5,false,-1,21.80,218,16880,4789,0,24,9,15,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-j-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-004,1271,24,2451602,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-j-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004]"
6,false,-1,19.70,197,14295,5970,0,22,9,15,2,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-003|red-myco-004,11881,24,2445381,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-003,red-myco-004;missingResources=B,O;strong=[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[cell-k-001]|[cell-o-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[cell-k-001]|[cell-o-001]|[red-myco-003]|[red-myco-004]"
7,false,-1,18.50,185,15191,5696,0,22,10,14,2,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-004,9540,24,2367184,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-004;missingResources=B,O;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[cell-k-001]|[cell-o-001]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[cell-k-001]|[cell-o-001]|[red-myco-004]"
8,false,-1,17.70,177,9423,2955,0,21,4,20,7,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-d-001|cell-e-001|cell-f-001|cell-h-001|cell-i-001|cell-j-001|cell-k-001|cell-k-002|cell-l-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-002|red-myco-003|red-myco-004,-27940,24,1963978,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-k-002,cell-l-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-002,red-myco-003,red-myco-004;missingResources=B,E,H,K,L,O,Q;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,cell-n-001]|[cell-a-001,cell-c-001,cell-d-002,cell-p-001]|[cell-a-002,cell-i-001,red-myco-001]|[cell-b-001]|[cell-d-001]|[cell-e-001]|[cell-h-001]|[cell-k-001]|[cell-l-001]|[cell-o-001]|[cell-q-001]|[red-myco-002]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,cell-n-001]|[cell-a-001,cell-c-001,cell-d-002,cell-p-001]|[cell-a-002,cell-i-001,red-myco-001]|[cell-b-001]|[cell-d-001]|[cell-e-001]|[cell-h-001]|[cell-k-001]|[cell-l-001]|[cell-o-001]|[cell-q-001]|[red-myco-002]|[red-myco-003]|[red-myco-004]"
9,false,-1,19.00,190,14739,5708,0,23,9,15,2,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-003|red-myco-004,9608,24,2455280,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-003,red-myco-004;missingResources=B,O;strong=[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[cell-k-001]|[cell-o-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-002,cell-m-001,red-myco-001,red-myco-002]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[cell-k-001]|[cell-o-001]|[red-myco-003]|[red-myco-004]"
